Customer ID,Order ID,Return Initiation Date,Return Method,Return Status,Item Verification Date,Refund Date,Customer Satisfaction Rating
1,1001,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,4
2,1002,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,5
3,1003,2022-07-10,Online Form,Processing,2022-07-15,2022-07-20,3
4,1004,2022-08-05,Return Label,Completed,2022-08-10,2022-08-15,5
5,1005,2022-09-18,Return Label,Processing,2022-09-22,2022-09-27,2
6,1006,2022-10-01,Email Request,Completed,2022-10-05,2022-10-10,4
7,1007,2022-11-08,Online Form,Processing,2022-11-13,2022-11-18,3
8,1008,2022-12-19,Return Label,Completed,2022-12-24,2022-12-29,5
9,1009,2023-01-07,Online Form,Processing,2023-01-12,2023-01-17,2
10,1010,2023-02-15,Email Request,Completed,2023-02-20,2023-02-25,4
11,1011,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,3.2
12,1012,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,3
13,1013,2022-07-10,Online Form,Processing,2022-07-15,2022-07-20,5
14,1014,2022-08-05,Return Label,Completed,2022-08-10,2022-08-15,2
15,1015,2022-09-18,Return Label,Processing,2022-09-22,2022-09-27,4
16,1016,2022-10-01,Email Request,Completed,2022-10-05,2022-10-10,3
17,1017,2022-11-08,Online Form,Processing,2022-11-13,2022-11-18,5
18,1018,2022-12-19,Return Label,Completed,2022-12-24,2022-12-29,3
19,1019,2023-01-07,Online Form,Processing,2023-01-12,2023-01-17,5
20,1020,2023-02-15,Email Request,Completed,2023-02-20,2023-02-25,2
21,1021,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,4
22,1022,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,3
23,1023,2022-07-10,Online Form,Processing,2022-07-15,2022-07-20,5
24,1024,2022-08-05,Return Label,Completed,2022-08-10,2022-08-15,3
25,1025,2022-09-18,Return Label,Processing,2022-09-22,2022-09-27,5
26,1026,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,2
27,1027,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,4
28,1028,2022-07-10,Online Form,Processing,2022-07-15,2022-07-20,3
29,1029,2022-08-05,Return Label,Completed,2022-08-10,2022-08-15,5
30,1030,2022-09-18,Return Label,Processing,2022-09-22,2022-09-27,4
31,1031,2022-10-01,Email Request,Completed,2022-10-05,2022-10-10,5
32,1032,2022-11-08,Online Form,Processing,2022-11-13,2022-11-18,3
33,1033,2022-12-19,Return Label,Completed,2022-12-24,2022-12-29,5
34,1034,2023-01-07,Online Form,Processing,2023-01-12,2023-01-17,2
35,1035,2023-02-15,Email Request,Completed,2023-02-20,2023-02-25,4
36,1036,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,3
37,1037,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,5
38,1038,2022-07-10,Online Form,Processing,2022-07-15,2022-07-20,2
39,1039,2022-08-05,Return Label,Completed,2022-08-10,2022-08-15,4
40,1040,2022-09-18,Return Label,Processing,2022-09-22,2022-09-27,3.2
41,1041,2022-10-01,Email Request,Completed,2022-10-05,2022-10-10,3
42,1042,2022-11-08,Online Form,Processing,2022-11-13,2022-11-18,5
43,1043,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,2
44,1044,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,4
45,1045,2022-07-10,Online Form,Processing,2022-07-15,2022-07-20,3
46,1046,2022-08-05,Return Label,Completed,2022-08-10,2022-08-15,5
47,1047,2022-09-18,Return Label,Processing,2022-09-22,2022-09-27,3
48,1048,2022-10-01,Email Request,Completed,2022-10-05,2022-10-10,5
49,1049,2022-11-08,Online Form,Processing,2022-11-13,2022-11-18,2
50,1050,2022-12-19,Return Label,Completed,2022-12-24,2022-12-29,4
51,1051,2023-01-07,Online Form,Processing,2023-01-12,2023-01-17,3
52,1052,2023-02-15,Email Request,Completed,2023-02-20,2023-02-25,5
53,1053,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,3
54,1054,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,5
55,1055,2022-07-10,Online Form,Processing,2022-07-15,2022-07-20,2
56,1056,2022-08-05,Return Label,Completed,2022-08-10,2022-08-15,4
57,1057,2022-09-18,Return Label,Processing,2022-09-22,2022-09-27,3
58,1058,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,5
59,1059,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,4
60,1060,2022-07-10,Online Form,Processing,2022-07-15,2022-07-20,5
61,1061,2022-08-05,Return Label,Completed,2022-08-10,2022-08-15,3
62,1062,2022-09-18,Return Label,Processing,2022-09-22,2022-09-27,5
63,1063,2022-10-01,Email Request,Completed,2022-10-05,2022-10-10,2
64,1064,2022-11-08,Online Form,Processing,2022-11-13,2022-11-18,4
65,1065,2022-12-19,Return Label,Completed,2022-12-24,2022-12-29,3
66,1066,2023-01-07,Online Form,Processing,2023-01-12,2023-01-17,5
67,1067,2023-02-15,Email Request,Completed,2023-02-20,2023-02-25,2
68,1068,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,4
69,1069,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,3.2
70,1070,2022-07-10,Online Form,Processing,2022-07-15,2022-07-20,3
71,1071,2022-08-05,Return Label,Completed,2022-08-10,2022-08-15,5
72,1072,2022-09-18,Return Label,Processing,2022-09-22,2022-09-27,2
73,1073,2022-10-01,Email Request,Completed,2022-10-05,2022-10-10,4
74,1074,2022-11-08,Online Form,Processing,2022-11-13,2022-11-18,3
75,1075,2022-12-19,Return Label,Completed,2022-12-24,2022-12-29,5
76,1076,2023-01-07,Online Form,Processing,2023-01-12,2023-01-17,3
77,1077,2023-02-15,Email Request,Completed,2023-02-20,2023-02-25,5
78,1078,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,2
79,1079,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,4
80,1080,2022-07-10,Online Form,Processing,2022-07-15,2022-07-20,3
81,1081,2022-08-05,Return Label,Completed,2022-08-10,2022-08-15,5
82,1082,2022-09-18,Return Label,Processing,2022-09-22,2022-09-27,3
83,1083,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,5
84,1084,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,2
85,1085,2022-07-10,Online Form,Processing,2022-07-15,2022-07-20,4
86,1086,2022-08-05,Return Label,Completed,2022-08-10,2022-08-15,3
87,1087,2022-09-18,Return Label,Processing,2022-09-22,2022-09-27,5
88,1088,2022-10-01,Email Request,Completed,2022-10-05,2022-10-10,4
89,1089,2022-11-08,Online Form,Processing,2022-11-13,2022-11-18,5
90,1090,2022-12-19,Return Label,Completed,2022-12-24,2022-12-29,3
91,1091,2023-01-07,Online Form,Processing,2023-01-12,2023-01-17,5
92,1092,2023-02-15,Email Request,Completed,2023-02-20,2023-02-25,2
93,1093,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,4
94,1094,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,3
95,1095,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,5
96,1096,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,2
97,1097,2022-07-10,Online Form,Processing,2022-07-15,2022-07-20,4
98,1098,2022-08-05,Return Label,Completed,2022-08-10,2022-08-15,3.2
99,1099,2022-09-18,Return Label,Processing,2022-09-22,2022-09-27,3
100,1100,2022-10-01,Email Request,Completed,2022-10-05,2022-10-10,5
101,1101,2022-11-08,Online Form,Processing,2022-11-13,2022-11-18,2
102,1102,2022-11-08,Online Form,Processing,2022-11-13,2022-11-18,4
103,1103,2022-12-19,Return Label,Completed,2022-12-24,2022-12-29,3
104,1104,2023-01-07,Online Form,Processing,2023-01-12,2023-01-17,5
105,1105,2023-02-15,Email Request,Completed,2023-02-20,2023-02-25,3
106,1106,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,5
107,1107,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,2